,EXP,REXP,SEXP
295,203,165.864,108
296,299,267.069,24
297,206,167.37,55
298,207,168.273,55
299,300,265.993,25
300,301,266.987,26
301,308,273.965,120
302,210,168.46900000000005,20
303,211,169.46599999999995,70
304,315,275.565,38
305,19,16.4946,6
306,21,18.4946,3
307,316,272.745,39
308,0,0.0,0
309,239,194.988,22
310,241,196.953,23
311,32,25.4383,1
312,33,26.392,12
313,242,196.665,121
314,245,199.603,63
315,246,200.602,64
316,247,201.545,65
317,248,202.503,66
318,249,202.295,67
319,250,203.291,68
320,251,204.192,69
321,317,269.118,40
322,252,204.728,35
323,318,269.492,32
324,34,27.0166,9
325,253,205.345,70
326,255,206.876,104
327,257,208.824,73
328,319,269.242,41
329,320,270.241,42
330,258,209.789,74
331,259,210.775,33
332,260,211.45,60
333,35,27.8442,10
334,213,164.59400000000005,115
335,321,269.97,43
336,322,270.958,44
337,323,271.953,45
338,261,209.638,109
339,263,211.497,71
340,0,0.0,0
341,1,0.999961,1
342,2,1.99987,0
343,3,2.9998,2
344,4,3.99956,0
345,265,213.065,36
346,22,18.3731,5
347,215,162.037,21
348,216,163.033,26
349,266,208.901,113
350,218,163.639,28
351,220,165.637,14
352,221,166.634,24
353,36,27.6884,8
354,268,210.449,38
355,38,29.6242,2
356,269,211.024,101
357,271,213.0,78
358,272,214.0,79
359,5,4.81622,3
360,324,259.077,46
361,325,259.644,47
362,223,165.90200000000004,59
363,326,260.002,33
364,224,166.896,82
365,327,260.995,18
366,273,211.44,141
367,275,213.412,81
368,39,30.0875,10
369,41,32.0794,12
370,43,33.861,14
371,328,258.595,47
372,227,167.81400000000005,24
373,228,168.77,58
374,229,169.769,61
375,230,170.748,62
376,231,171.47799999999995,88
377,331,261.04,34
378,23,18.5423,0
379,332,261.953,35
380,333,262.952,36
381,233,173.15099999999995,15
382,0,0.0,0
383,234,174.1,64
384,276,211.596,37
385,334,263.428,25
386,335,264.361,37
387,336,265.308,38
388,337,266.255,39
389,277,212.273,62
390,278,213.208,25
391,6,5.56259,5
392,10,9.56213,1
393,11,10.5618,1
394,279,212.379,82
395,45,35.2325,13
396,338,264.506,48
397,339,264.976,49
398,46,35.7754,3
399,280,210.728,101
400,341,264.157,16
401,342,265.151,17
402,343,266.067,26
403,344,267.067,27
404,24,18.9989,1
405,282,212.345,123
406,25,19.9491,4
407,352,273.958,127
408,284,213.456,85
409,1,0.860883,0
410,47,36.5322,14
411,2,1.86078,0
412,3,2.86056,1
413,285,214.357,86
414,26,20.8958,4
415,27,21.8501,12
416,30,24.6911,6
417,48,37.1324,15
418,240,173.298,16
419,31,25.512,7
420,287,213.289,64
421,288,214.241,87
422,32,26.4936,8
423,357,274.082,22
424,358,275.08,23
425,360,277.074,52
426,367,282.905,27
427,33,27.2984,13
428,368,283.182,28
429,290,213.679,126
430,35,28.9959,10
431,292,214.844,79
432,294,216.832,89
433,12,10.7631,5
434,13,11.7546,2
435,295,216.048,155
436,297,218.028,26
437,49,37.0044,16
438,50,38.0038,17
439,241,169.543,59
440,14,12.7292,3
441,1,0.914741,1
442,4,3.91377,2
443,298,218.08900000000003,40
444,242,169.602,68
445,15,13.5354,10
446,243,169.49900000000005,198
447,373,279.209,29
448,36,29.2391,20
449,299,216.913,157
450,39,32.2347,5
451,248,174.043,1
452,249,174.907,78
453,251,176.899,71
454,252,177.74200000000005,160
455,301,217.523,133
456,303,218.234,94
457,256,179.9,27
458,257,180.686,18
459,258,181.182,92
460,260,183.182,122
461,374,274.123,83
462,5,4.71085,3
463,263,185.416,125
464,266,188.322,98
465,268,190.321,23
466,305,216.397,121
467,307,216.146,123
468,309,217.766,125
469,311,219.764,31
470,377,271.04400000000004,54
471,17,14.6524,5
472,378,269.969,55
473,6,5.47187,6
474,312,218.175,68
475,313,219.147,96
476,314,219.743,129
477,9,8.44747,9
478,316,221.33900000000003,209
479,319,223.44,132
480,0,0.0,0
481,381,268.136,56
482,2,1.99873,1
483,270,183.51,52
484,12,11.2427,6
485,4,3.32303,1
486,13,12.2416,7
487,14,13.2096,8
488,15,14.2096,9
489,272,185.124,29
490,16,15.2059,10
491,321,223.2,104
492,18,15.1455,13
493,273,185.712,55
494,275,187.708,31
495,276,188.697,26
496,20,17.1299,7
497,323,224.43400000000003,171
498,277,189.449,32
499,325,226.357,136
500,327,228.354,102
501,278,190.392,60
502,280,192.337,92
503,386,270.993,31
504,286,197.612,9
505,388,271.547,89
506,328,227.182,216
507,332,231.105,184
508,23,22.674,7
509,17,15.6321,11
510,18,16.6312,12
511,19,17.5871,13
512,21,19.5862,1
513,22,20.5854,2
514,67,65.3689,32
515,23,21.5413,17
516,406,283.4290000000001,20
517,335,228.303,105
518,336,229.282,106
519,419,294.147,42
520,288,193.474,77
521,289,194.463,78
522,290,195.322,79
523,420,294.532,59
524,291,195.823,109
525,293,197.821,30
526,294,198.804,31
527,295,199.383,123
528,25,22.8221,15
529,26,23.8189,16
530,27,24.7565,4
531,421,290.697,60
532,422,291.53,61
533,299,200.675,69
534,301,201.503,82
535,29,26.3568,17
536,71,65.9517,10
537,30,27.2391,6
538,302,201.053,83
539,303,202.046,84
540,437,298.295,44
541,438,299.291,32
542,439,299.6670000000001,63
543,440,299.724,31
544,441,300.624,64
545,442,301.611,65
546,443,301.886,66
547,43,29.797,6
548,45,31.752,7
549,304,193.448,98
550,307,196.023,35
551,308,196.99400000000003,36
552,51,31.4851,10
553,473,318.632,47
554,474,319.629,48
555,52,32.4086,18
556,31,25.9432,0
557,32,26.9431,18
558,33,27.9431,19
559,34,28.9431,7
560,38,32.9417,8
561,309,195.061,122
562,482,324.1690000000001,70
563,39,33.6332,35
564,43,37.6332,1
565,53,32.9868,19
566,483,323.389,50
567,484,324.377,36
568,311,194.892,3
569,312,195.799,37
570,485,323.838,51
571,313,196.21,187
572,316,199.209,87
573,46,31.189,12
574,72,59.6574,6
575,317,199.069,39
576,73,60.5431,7
577,318,199.388,40
578,319,200.388,88
579,320,201.385,89
580,321,202.351,162
581,48,41.6206,22
582,324,205.198,133
583,49,42.5984,23
584,486,320.168,309
585,326,206.473,135
586,328,207.82,157
587,74,60.6932,42
588,492,324.862,365
589,330,208.952,138
590,332,210.663,95
591,333,211.662,83
592,82,68.2457,9
593,335,213.522,96
594,336,214.482,97
595,51,43.5455,25
596,52,44.3695,26
597,337,213.593,46
598,338,214.261,47
599,339,214.225,98
600,13,10.6818,4
601,53,44.6031,34
602,56,47.6013,11
603,57,48.5994,12
604,54,32.3458,11
605,83,67.2199,17
606,55,33.3402,4
607,85,69.0847,10
608,86,70.0752,24
609,58,49.3893,6
610,341,214.032,48
611,342,215.026,49
612,59,50.3654,23
613,88,71.598,14
614,62,53.0024,28
615,63,53.8884,12
616,65,55.8874,43
617,343,214.30900000000003,50
618,344,215.187,51
619,345,216.179,52
620,346,217.174,53
621,347,218.156,65
622,349,219.68400000000003,301
623,356,226.363,199
624,502,320.312,73
625,361,230.87,157
626,365,233.94,102
627,50,33.0563,6
628,73,62.8493,37
629,89,71.3165,15
630,77,66.8379,30
631,51,33.9753,14
632,504,319.21,74
633,505,319.87,39
634,90,71.9769,16
635,91,72.8354,6
636,56,33.467,5
637,506,320.155,75
638,52,34.7056,8
639,53,35.7051,32
640,56,38.7049,26
641,507,319.85,39
642,508,320.61,76
643,509,321.588,40
644,510,322.581,41
645,367,232.866,40
646,368,233.865,144
647,78,66.8095,4
648,370,235.487,34
649,371,236.481,57
650,372,237.477,58
651,373,238.445,94
652,375,240.435,96
653,377,242.429,37
654,378,242.858,104
655,58,40.382,49
656,92,72.7067,7
657,80,67.5901,31
658,64,45.9089,10
659,511,318.84,484
660,81,68.5312,45
661,83,70.4186,5
662,380,241.868,12
663,65,46.8002,11
664,57,33.7467,32
665,93,72.7472,29
666,66,47.7069,12
667,525,331.094,55
668,21,13.7542,8
669,385,244.578,62
670,386,245.577,39
671,387,246.576,40
672,388,247.573,63
673,390,249.555,170
674,392,251.527,337
675,398,257.523,188
676,401,260.518,67
677,402,261.515,42
678,403,262.512,43
679,404,263.512,44
680,405,264.508,113
681,407,266.505,109
682,408,267.495,110
683,409,268.493,111
684,69,50.2725,14
685,410,269.425,44
686,411,270.39,115
687,413,272.206,112
688,414,273.05400000000003,47
689,415,274.05400000000003,246
690,555,358.585,43
