,EXP,REXP,SEXP
803,59,47.8336,59
804,381,278.17400000000004,142
805,382,279.173,275
806,13,12.0376,4
807,385,279.29400000000004,234
808,387,281.293,278
809,389,283.264,371
810,214,136.571,62
811,60,47.5179,60
812,61,48.5177,61
813,420,280.44599999999997,388
814,423,283.101,391
815,51,40.7065,50
816,392,279.644,374
817,381,233.753,230
818,383,235.732,232
819,385,237.72,234
820,56,45.2413,36
821,58,47.2412,16
822,59,48.2379,55
823,62,48.6485,62
824,63,49.6483,63
825,64,50.58,64
826,54,43.0369,40
827,56,45.0349,42
828,395,280.067,377
829,398,283.065,380
830,401,286.064,138
831,402,285.166,384
832,10,5.99589,5
833,405,287.749,96
834,65,51.1117,65
835,66,52.1116,66
836,67,53.0141,67
837,21,17.8277,13
838,406,287.58,140
839,68,53.8811,68
840,69,54.881,69
841,70,55.881,70
842,407,288.52299999999997,141
843,408,289.502,151
844,62,50.4119,35
845,15,13.0257,12
846,409,288.25,97
847,23,19.6148,20
848,27,23.5841,7
849,64,51.8285,23
850,65,52.8256,24
851,410,288.454,392
852,66,53.7258,62
853,413,290.953,153
854,71,56.0951,71
855,18,15.9058,11
856,69,56.5626,26
857,70,57.4639,66
858,73,60.4634,0
859,414,289.204,297
860,416,291.203,299
861,58,44.9646,1
862,28,24.0086,18
863,59,45.2342,57
864,418,286.915,400
865,421,289.905,403
866,424,292.905,248
867,72,55.169,72
868,73,58.5501,69
869,387,227.765,129
870,76,61.1673,72
871,79,64.1666,75
872,17,13.9756,12
873,11,6.639239999999999,8
874,13,8.63921,2
875,426,292.57599999999996,149
876,30,25.3088,20
877,429,295.02,158
878,215,126.536,131
879,217,128.535,64
880,430,293.184,410
881,433,296.183,413
882,21,17.6092,15
883,82,65.8143,78
884,218,128.011,69
885,436,297.825,416
886,439,300.824,419
887,85,68.5004,81
888,442,301.07599999999996,423
889,88,71.0263,84
890,20,16.5542,13
891,91,73.8608,87
892,446,304.48400000000004,425
893,24,20.3195,18
894,62,46.4023,24
895,449,307.284,108
896,94,76.6717,28
897,388,221.765,366
898,392,225.762,369
899,96,78.3256,64
900,98,80.3256,27
901,27,23.1496,21
902,30,25.9032,17
903,99,80.3981,66
904,65,48.6096,3
905,32,27.8227,26
906,101,82.3588,96
907,395,226.166,8
908,396,227.162,9
909,104,85.2036,32
910,105,86.2035,67
911,426,255.798,394
912,397,227.86599999999999,297
913,399,229.86,299
914,455,308.04200000000003,111
915,456,309.041,435
916,107,88.1733,0
917,459,312.03,11
918,460,312.539,438
919,463,315.515,283
920,465,317.414,12
921,466,316.962,13
922,108,88.3846,72
923,110,90.3846,30
924,111,91.3437,106
925,35,30.1651,29
926,39,34.1577,23
927,467,313.617,443
928,115,93.8654,108
929,118,96.8625,111
930,429,253.57299999999998,397
931,121,99.4041,42
932,125,103.38799999999999,38
933,470,314.993,171
934,41,35.7158,25
935,43,37.7152,9
936,221,125.119,179
937,44,38.6367,27
938,46,40.55,18
939,126,103.91,41
940,128,105.883,43
941,129,106.848,118
942,471,313.10900000000004,288
943,132,109.13,45
944,48,42.2228,30
945,473,315.05,449
946,476,318.036,334
947,478,320.029,175
948,50,44.1367,42
949,53,47.1352,20
950,225,127.95700000000001,138
951,32,24.8674,28
952,133,109.831,122
953,14,8.86243,7
954,479,319.923,455
955,482,322.91900000000004,339
956,484,324.918,297
957,486,326.916,179
958,487,327.915,120
959,488,328.909,301
960,54,47.8933,46
961,136,112.381,125
962,35,27.7471,16
963,57,50.7797,49
964,139,115.10600000000001,47
965,490,329.533,181
966,491,330.51300000000003,467
967,494,333.51099999999997,470
968,497,336.505,124
969,498,337.24300000000005,309
970,500,338.92,126
971,501,338.93,350
972,503,340.925,479
973,506,343.92,167
974,507,344.92,128
975,60,53.3684,52
976,141,116.304,129
977,63,56.3489,55
978,37,29.482,33
979,144,119.25,134
980,148,123.242,135
981,151,126.234,51
982,401,222.644,376
983,508,345.431,187
984,509,346.425,188
985,66,47.0176,61
986,510,346.971,14
987,15,9.731869999999999,11
988,404,225.342,168
989,405,226.342,0
990,405,226.33900000000003,169
991,227,128.226,181
992,230,131.225,184
993,511,347.135,372
994,514,350.134,375
995,406,226.93599999999998,305
996,408,228.93599999999998,307
997,66,59.0335,58
998,69,62.0331,61
999,72,64.875,64
1000,75,67.8749,67
1001,410,230.237,309
1002,412,232.233,311
1003,517,351.781,490
1004,520,354.78,493
1005,523,357.78,365
1006,525,359.779,367
1007,78,70.7041,51
1008,80,72.7039,23
1009,81,73.7038,54
1010,152,126.061,99
1011,154,128.06,101
1012,156,130.053,146
1013,160,134.05200000000002,150
1014,42,34.091,15
1015,44,36.0909,17
1016,46,38.0909,17
1017,527,360.842,131
1018,528,361.84,132
1019,22,16.9345,19
1020,25,19.9344,22
1021,529,362.10900000000004,502
1022,532,365.108,330
1023,28,22.9188,10
1024,30,24.9187,12
1025,534,366.634,332
1026,536,368.63300000000004,334
1027,538,370.01800000000003,374
1028,540,372.017,376
1029,83,74.9648,19
1030,84,75.9647,20
1031,542,373.74300000000005,515
1032,545,376.74199999999996,518
1033,85,76.4126,77
1034,88,79.4124,80
1035,414,231.63099999999997,139
1036,415,232.628,140
1037,164,134.944,54
1038,166,136.94299999999998,56
1039,91,81.5901,56
1040,93,83.5899,24
1041,94,84.5882,59
1042,96,86.5881,26
1043,97,87.5686,89
1044,100,90.5685,92
1045,548,373.782,179
1046,103,93.0571,95
1047,106,96.057,98
1048,233,130.705,187
1049,549,371.31,139
1050,109,98.1223,101
1051,112,101.12200000000001,64
1052,114,103.12200000000001,106
1053,117,106.11,109
1054,120,109.11,112
1055,550,371.374,383
1056,552,373.37300000000005,385
1057,554,375.223,527
1058,557,378.222,530
1059,560,380.81300000000005,533
1060,563,383.81300000000005,536
1061,416,229.157,174
1062,417,230.15400000000002,175
1063,123,111.506,115
1064,126,114.505,118
1065,129,117.212,121
1066,132,120.212,124
1067,566,385.12800000000004,539
1068,569,388.12699999999995,542
1069,73,48.2018,0
1070,418,230.359,141
1071,76,51.1994,3
1072,419,231.357,142
1073,79,54.196000000000005,4
1074,81,56.1866,6
1075,572,389.661,399
1076,574,391.66,146
